iter	MAE
0	1.685085457
1	1.683863638
2	1.682833652
3	1.681917135
4	1.680962609
5	1.679575613
6	1.678197929
7	1.677180429
8	1.676211188
9	1.674786643
10	1.673998032
11	1.67311347
12	1.672431565
13	1.671470403
14	1.670261731
15	1.669058962
16	1.667769048
17	1.666165742
18	1.665392589
19	1.664577937
20	1.66363202
21	1.662634967
22	1.661271558
23	1.660013168
24	1.659251481
25	1.658071914
26	1.657055247
27	1.655477376
28	1.654000526
29	1.653142815
30	1.651916824
31	1.65073864
32	1.649487979
33	1.648737048
34	1.648114177
35	1.647314766
36	1.646412409
37	1.645805722
38	1.644912973
39	1.643764229
40	1.642705758
41	1.641803943
42	1.640951958
43	1.63978362
44	1.638500091
45	1.637227115
46	1.636692269
47	1.635961367
48	1.63464395
49	1.633854811
50	1.632980877
51	1.632220344
52	1.631291503
53	1.630177556
54	1.62894903
55	1.628287857
56	1.627212649
57	1.626208151
58	1.625047453
59	1.624327406
60	1.623550575
61	1.622022843
62	1.621340856
63	1.620040036
64	1.61920446
65	1.618291068
66	1.617147927
67	1.616318475
68	1.6150907
69	1.614169384
70	1.613029424
71	1.611899244
72	1.610748445
73	1.609438288
74	1.608535566
75	1.607797048
76	1.606757375
77	1.606049223
78	1.604803739
79	1.603461608
80	1.602583834
81	1.601592493
82	1.599988524
83	1.598978165
84	1.598104468
85	1.597465496
86	1.595853579
87	1.595263743
88	1.594370274
89	1.59289331
90	1.591310076
91	1.590316336
92	1.589574581
93	1.588610478
94	1.587434036
95	1.58662746
96	1.585688345
97	1.584733792
98	1.583688715
99	1.58271429
100	1.581144493
101	1.580331494
102	1.579500938
103	1.578717281
104	1.578183611
105	1.577369407
106	1.576628315
107	1.575833963
108	1.574813452
109	1.574114641
110	1.57360229
111	1.57292763
112	1.572081268
113	1.571368423
114	1.570401502
115	1.56977218
116	1.568963065
117	1.567764692
118	1.56674222
119	1.565561607
120	1.564343281
121	1.563193462
122	1.562351451
123	1.561343842
124	1.560438627
125	1.559447212
126	1.558803427
127	1.557806312
128	1.556848568
129	1.555793236
130	1.554989808
131	1.55443843
132	1.553454106
133	1.552545773
134	1.551880728
135	1.550728048
136	1.549603583
137	1.548695096
138	1.547602327
139	1.546461756
140	1.545704672
141	1.544758042
142	1.543830793
143	1.542748515
144	1.541301894
145	1.539963646
146	1.539177028
147	1.538396759
148	1.53756722
149	1.536734905
150	1.535408034
151	1.534606095
152	1.533976927
153	1.533261624
154	1.532108389
155	1.53119514
156	1.530321496
157	1.52957702
158	1.528960442
159	1.527812875
160	1.526910562
161	1.525946447
162	1.525099857
163	1.524295994
164	1.523280541
165	1.522508145
166	1.520917526
167	1.520386157
168	1.519695147
169	1.519022545
170	1.518083089
171	1.517468025
172	1.516628048
173	1.516044137
174	1.515474482
175	1.514389333
176	1.513076156
177	1.512138758
178	1.511488627
179	1.510862001
180	1.510349153
181	1.509201077
182	1.508171883
183	1.506600693
184	1.505784786
185	1.504811455
186	1.504216108
187	1.503526763
188	1.502954748
189	1.502352194
190	1.501566014
191	1.50070131
192	1.500082611
193	1.499386023
194	1.498105186
195	1.497337822
196	1.496174858
197	1.495667113
198	1.494982938
199	1.494374325
200	1.493935083
201	1.493347113
202	1.492656826
203	1.491841658
204	1.490692273
205	1.489723513
206	1.488942044
207	1.488087414
208	1.487374586
209	1.486519859
210	1.485984853
211	1.485181052
212	1.484317524
213	1.483533171
214	1.482278484
215	1.481839422
216	1.481158035
217	1.480410795
218	1.479868852
219	1.479320282
220	1.478481335
221	1.477756756
222	1.477307995
223	1.476604582
224	1.47575948
225	1.47528706
226	1.474763764
227	1.474198572
228	1.473267978
229	1.472607552
230	1.471624233
231	1.4712987
232	1.47059634
233	1.469998277
234	1.46895966
235	1.468141142
236	1.467278869
237	1.466632923
238	1.466103418
239	1.465508926
240	1.464860394
241	1.464303766
242	1.463478273
243	1.462581404
244	1.461548524
245	1.460495325
246	1.459647337
247	1.458982035
248	1.458068631
249	1.456939673
250	1.456328898
251	1.455531876
252	1.454470099
253	1.454013875
254	1.452931401
255	1.452509747
256	1.451993591
257	1.451061621
258	1.450369704
259	1.449646418
260	1.448837032
261	1.448100194
262	1.447350153
263	1.446873961
264	1.446292725
265	1.445541542
266	1.444502807
267	1.443506348
268	1.442704082
269	1.442075686
270	1.441544052
271	1.440778049
272	1.440183289
273	1.43918355
274	1.438459608
275	1.437927097
276	1.437251336
277	1.436312321
278	1.435608659
279	1.434735774
280	1.434077275
281	1.433501264
282	1.432545969
283	1.431635319
284	1.430955586
285	1.429966513
286	1.429371748
287	1.42847011
288	1.4275593
289	1.426934213
290	1.426025103
291	1.425296835
292	1.424795113
293	1.424058804
294	1.423275689
295	1.422242704
296	1.421540605
297	1.42075483
298	1.420281961
299	1.419628733
300	1.418883353
301	1.418258281
302	1.417117508
303	1.41608691
304	1.415524829
305	1.414892118
306	1.41409654
307	1.413216224
308	1.412508128
309	1.411815686
310	1.411062859
311	1.4100524
312	1.409264161
313	1.408607648
314	1.407349971
315	1.406543303
316	1.405609029
317	1.404861061
318	1.404187995
319	1.403541228
320	1.402731054
321	1.401954513
322	1.401084387
323	1.400165254
324	1.399202169
325	1.398185489
326	1.397425018
327	1.396627024
328	1.396060689
329	1.395189437
330	1.39433289
