iter	Passed	Remaining
0	0	266
1	1	258
2	2	257
3	3	256
4	3	253
5	4	251
6	5	251
7	6	250
8	6	249
9	7	249
10	8	248
11	9	247
12	10	247
13	10	246
14	11	245
15	12	246
16	13	246
17	14	247
18	15	247
19	15	246
20	16	245
21	17	244
22	18	243
23	18	242
24	19	241
25	20	240
26	21	239
27	22	238
28	22	237
29	23	236
30	24	236
31	25	235
32	25	234
33	26	233
34	27	232
35	28	231
36	29	231
37	29	231
38	30	231
39	31	230
40	32	230
41	33	229
42	34	228
43	34	228
44	35	227
45	36	226
46	37	225
47	38	224
48	38	223
49	39	223
50	40	222
51	41	221
52	42	220
53	42	220
54	43	219
55	44	218
56	45	217
57	46	217
58	46	216
59	47	216
60	48	215
61	49	215
62	50	214
63	51	213
64	52	213
65	52	212
66	53	211
67	54	210
68	55	209
69	56	209
70	56	208
71	57	207
72	58	207
73	59	206
74	60	205
75	61	204
76	61	204
77	62	203
78	63	204
79	64	203
80	65	202
81	66	201
82	67	200
83	68	200
84	68	199
85	69	198
86	70	197
87	71	197
88	72	196
89	73	196
90	74	195
91	75	195
92	75	194
93	76	193
94	77	193
95	78	192
96	79	192
97	80	191
98	81	191
99	82	190
100	83	189
101	84	188
102	84	187
103	85	186
104	86	185
105	87	185
106	87	184
107	88	183
108	89	182
109	90	181
110	91	180
111	91	179
112	92	179
113	93	178
114	94	177
115	95	176
116	96	176
117	97	175
118	98	174
119	98	173
120	100	173
121	100	172
122	101	172
123	102	171
124	103	170
125	104	170
126	105	169
127	106	168
128	107	168
129	108	167
130	109	166
131	109	165
132	110	164
133	111	163
134	112	163
135	113	162
136	114	161
137	115	161
138	116	160
139	116	159
140	117	158
141	118	158
142	119	157
143	120	156
144	121	155
145	122	154
146	123	154
147	123	153
148	124	152
149	125	151
150	126	150
151	127	149
152	128	149
153	129	148
154	130	148
155	131	147
156	132	146
157	133	145
158	134	145
159	134	144
160	135	143
161	136	142
162	137	141
163	138	140
164	139	139
165	139	139
166	140	138
167	141	137
168	142	136
169	143	135
170	144	134
171	145	134
172	145	133
173	146	132
174	147	131
175	148	130
176	149	129
177	150	128
178	150	128
179	151	127
180	152	126
181	153	125
182	154	124
183	155	123
184	155	123
185	156	122
186	157	121
187	158	120
188	159	119
189	159	118
190	160	117
191	161	116
192	162	116
193	163	115
194	164	114
195	165	113
196	165	112
197	166	112
198	167	111
199	168	110
200	169	109
201	170	108
202	170	107
203	171	106
204	172	106
205	173	105
206	174	104
207	174	103
208	175	102
209	176	101
210	177	100
211	178	100
212	179	99
213	180	98
214	180	97
215	181	96
216	182	95
217	183	95
218	184	94
219	185	93
220	185	92
221	186	91
222	187	90
223	188	89
224	188	89
225	189	88
226	190	87
227	191	86
228	192	85
229	193	84
230	194	84
231	195	83
232	196	82
233	197	81
234	197	80
235	198	79
236	199	79
237	200	78
238	201	77
239	201	76
240	202	75
241	203	74
242	204	74
243	205	73
244	206	72
245	206	71
246	207	70
247	208	69
248	209	68
249	210	68
250	211	67
251	212	66
252	212	65
253	213	64
254	214	63
255	215	63
256	216	62
257	217	61
258	217	60
259	218	59
260	219	58
261	220	58
262	221	57
263	221	56
264	222	55
265	223	54
266	224	53
267	225	52
268	226	52
269	227	51
270	227	50
271	228	49
272	229	48
273	230	47
274	231	47
275	231	46
276	232	45
277	233	44
278	234	43
279	235	42
280	235	41
281	236	41
282	237	40
283	238	39
284	239	38
285	240	37
286	240	36
287	241	36
288	242	35
289	243	34
290	244	33
291	245	32
292	245	31
293	246	31
294	247	30
295	248	29
296	249	28
297	249	27
298	250	26
299	251	25
300	252	25
301	253	24
302	253	23
303	254	22
304	255	21
305	256	20
306	257	20
307	257	19
308	258	18
309	259	17
310	260	16
311	261	15
312	262	15
313	262	14
314	263	13
315	264	12
316	265	11
317	266	10
318	266	10
319	267	9
320	268	8
321	269	7
322	269	6
323	270	5
324	271	5
325	272	4
326	273	3
327	274	2
328	274	1
329	275	0
330	276	0
